,iteration,train error,test error
206,207.0,0.005,0.1412
207,208.0,0.005,0.1412
208,209.0,0.005,0.141
209,210.0,0.005,0.1412
210,211.0,0.005,0.141
211,212.0,0.005,0.1416
212,213.0,0.005,0.1412
213,214.0,0.005,0.1412
214,215.0,0.005,0.141
215,216.0,0.005,0.141
216,217.0,0.005,0.1408
217,218.0,0.005,0.141
218,219.0,0.005,0.1402
219,220.0,0.005,0.1408
220,221.0,0.0052,0.1404
221,222.0,0.005,0.1408
222,223.0,0.005,0.1404
223,224.0,0.005,0.1408
224,225.0,0.005,0.1406
225,226.0,0.005,0.1408
226,227.0,0.0052,0.1408
227,228.0,0.005,0.1412
228,229.0,0.0052,0.141
229,230.0,0.005,0.1412
230,231.0,0.005,0.1404
231,232.0,0.005,0.1408
232,233.0,0.005,0.1406
233,234.0,0.005,0.1412
234,235.0,0.005,0.141
235,236.0,0.005,0.141
236,237.0,0.005,0.141
237,238.0,0.005,0.1408
238,239.0,0.005,0.1406
239,240.0,0.005,0.1408
240,241.0,0.005,0.1402
241,242.0,0.005,0.1404
242,243.0,0.005,0.14
243,244.0,0.005,0.1408
244,245.0,0.005,0.1406
245,246.0,0.005,0.1406
246,247.0,0.005,0.1406
247,248.0,0.005,0.1408
248,249.0,0.005,0.1404
249,250.0,0.005,0.1408
250,251.0,0.005,0.1408
251,252.0,0.005,0.141
252,253.0,0.005,0.1408
253,254.0,0.005,0.1406
254,255.0,0.005,0.1406
255,256.0,0.005,0.1404
256,257.0,0.005,0.1406
257,258.0,0.005,0.1408
258,259.0,0.005,0.141
259,260.0,0.005,0.1408
260,261.0,0.005,0.1412
261,262.0,0.005,0.141
262,263.0,0.005,0.1408
263,264.0,0.005,0.1408
264,265.0,0.005,0.1408
265,266.0,0.005,0.141
266,267.0,0.005,0.1408
267,268.0,0.005,0.141
268,269.0,0.005,0.1408
269,270.0,0.005,0.1412
270,271.0,0.005,0.1408
271,272.0,0.005,0.1404
272,273.0,0.005,0.1404
273,274.0,0.005,0.1404
274,275.0,0.005,0.1402
275,276.0,0.005,0.1404
276,277.0,0.005,0.14
277,278.0,0.005,0.1404
278,279.0,0.005,0.1404
279,280.0,0.005,0.1406
280,281.0,0.0052,0.1402
281,282.0,0.005,0.1406
282,283.0,0.005,0.1404
283,284.0,0.005,0.1406
284,285.0,0.0052,0.1406
285,286.0,0.005,0.1408
286,287.0,0.005,0.1404
287,288.0,0.005,0.1404
288,289.0,0.005,0.1404
289,290.0,0.0048,0.1404
290,291.0,0.0048,0.1402
291,292.0,0.0048,0.1404
292,293.0,0.0048,0.1402
293,294.0,0.0048,0.1402
294,295.0,0.0048,0.14
295,296.0,0.0048,0.1406
296,297.0,0.0048,0.14
297,298.0,0.0048,0.1404
298,299.0,0.0048,0.14
299,300.0,0.0048,0.1404
300,301.0,0.0048,0.1404
301,302.0,0.0048,0.1408
302,303.0,0.0048,0.1404
303,304.0,0.0048,0.141
304,305.0,0.0048,0.1406
305,306.0,0.0048,0.141
306,307.0,0.0048,0.1406
307,308.0,0.0048,0.141
308,309.0,0.0048,0.1406
309,310.0,0.0048,0.1408
310,311.0,0.0048,0.1406
311,312.0,0.0048,0.1406
312,313.0,0.0048,0.1406
313,314.0,0.0048,0.1406
314,315.0,0.0048,0.1404
315,316.0,0.0048,0.1406
316,317.0,0.0048,0.1402
317,318.0,0.0048,0.1406
318,319.0,0.0048,0.1406
319,320.0,0.0048,0.1408
320,321.0,0.0048,0.1402
321,322.0,0.0048,0.1406
322,323.0,0.0048,0.1402
323,324.0,0.0048,0.1404
324,325.0,0.0048,0.1404
325,326.0,0.0048,0.1408
326,327.0,0.0048,0.1404
327,328.0,0.0048,0.1408
328,329.0,0.0048,0.1404
329,330.0,0.0048,0.1406
330,331.0,0.005,0.1408
331,332.0,0.0048,0.1406
332,333.0,0.005,0.1402
333,334.0,0.0048,0.1406
334,335.0,0.005,0.1402
335,336.0,0.005,0.1406
336,337.0,0.005,0.1404
337,338.0,0.005,0.1406
338,339.0,0.005,0.1408
339,340.0,0.005,0.1406
340,341.0,0.005,0.1406
341,342.0,0.005,0.1406
342,343.0,0.005,0.1406
343,344.0,0.005,0.1408
344,345.0,0.005,0.1408
345,346.0,0.005,0.141
346,347.0,0.005,0.1408
347,348.0,0.005,0.1408
348,349.0,0.005,0.1404
349,350.0,0.005,0.1406
350,351.0,0.005,0.1406
351,352.0,0.005,0.1406
352,353.0,0.005,0.1402
353,354.0,0.005,0.1404
354,355.0,0.005,0.1404
355,356.0,0.005,0.1404
356,357.0,0.005,0.1402
357,358.0,0.005,0.1406
358,359.0,0.005,0.1402
359,360.0,0.005,0.1406
360,361.0,0.005,0.1406
361,362.0,0.005,0.1406
362,363.0,0.005,0.1404
363,364.0,0.005,0.1404
364,365.0,0.005,0.14
365,366.0,0.005,0.141
366,367.0,0.005,0.1402
367,368.0,0.005,0.1404
368,369.0,0.005,0.14
369,370.0,0.005,0.1408
370,371.0,0.005,0.1406
371,372.0,0.005,0.141
372,373.0,0.005,0.1406
